アー	aː
アーカイバ	aːkaiba
アーカイバー	aːkaibaː
アーカイブ	aːkaibɯ
アーガイル	aːgaiɾɯ
アーキビスト	aːkibisɯto
アーク	aːkɯ
アークコタンジェント	aːkɯkotaɴdʑieɴto
アークサイン	aːkɯsaiɴ
アークタンジェント	aːkɯtaɴdʑieɴto
アーケード	aːkeːdo
アース	aːsɯ
アーチ	aːtɕi
アーチェリー	aːtɕeɾiː
アーチスト	aːtɕisɯto
アーティキュレーション	aːteikjɯɾeːɕoɴ
アーティスト	aːteisɯto
アーティチョーク	aːteitɕoːkɯ
アーティファクト	aːteiɸakɯto
アート	aːto
アームチェア	aːmɯtɕea
アーメン	aːmeɴ
アーモンド	aːmoɴdo
アーユルヴェーダ	aːjɯɾɯveːda
アール	aːɾɯ
アールグレイ	aːɾɯgɯɾei
アイ	ai
アイアイ	aiai
アイアン	aiaɴ
アイキュー	aikjɯː
アイコン	aikoɴ
アイゴー	aigoː
アイシャドー	aiɕadoː
アイシャドウ	aiɕadoɯ
アイシング	aiɕiɴgɯ
アイス	aisɯ
アイスバーン	aisɯbaːɴ
アイテム	aitemɯ
アイディア	aideia
アイデンティティ	aideɴteitei
アイドル	aidoɾɯ
アイナメ	ainame
アイヌ	ainɯ
アイブロウ	aibɯɾoɯ
アイマスク	aimasɯkɯ
アイライナー	aiɾainaː
アイライン	aiɾaiɴ
アイロニー	aiɾoniː
アイロン	aiɾoɴ
アインスタイニウム	aiɴsɯtainiɯmɯ
アウトサイダー	aɯtosaidaː
アウトプット	aɯtopɯtːo
アウトロー	aɯtoɾoː
アウフヘーベン	aɯɸɯheːbeɴ
アオザイ	aozai
アカウント	akaɯɴto
アカシア	akaɕia
アカデミー	akademiː
アカペラ	akapeɾa
アクアマリン	akɯamaɾiɴ
アクアリウム	akɯaɾiɯmɯ
アクサン	akɯsaɴ
アクサンテギュ	akɯsaɴtegjɯ
アクシス	akɯɕisɯ
アクシデント	akɯɕideɴto
アクション	akɯɕoɴ
アクセ	akɯse
アクセサリー	akɯsesaɾiː
アクセシビリティ	akɯseɕibiɾitei
アクセシビリティー	akɯseɕibiɾiteiː
アクセス	akɯsesɯ
アクセント	akɯseɴto
アクチニウム	akɯtɕiniɯmɯ
アクチニド	akɯtɕinido
アクチノイド	akɯtɕinoido
アクメ	akɯme
アクリジン	akɯɾidʑiɴ
アクリル	akɯɾiɾɯ
アクロバット	akɯɾobatːo
アコーディオン	akoːdeioɴ
アコーデオン	akoːdeoɴ
アサイー	asaiː
アシ	aɕi
アシスタント	aɕisɯtaɴto
アジ	adʑi
アジア	adʑia
アジト	adʑito
アジャスト	adʑasɯto
アスタチン	asɯtatɕiɴ
アステカ	asɯteka
アステリスク	asɯteɾisɯkɯ
アスパラ	asɯpaɾa
アスパラガス	asɯpaɾagasɯ
アスパラギン	asɯpaɾagiɴ
アスピック	asɯpikːɯ
アスピリン	asɯpiɾiɴ
アスファルト	asɯɸaɾɯto
アスベスト	asɯbesɯto
アスリート	asɯɾiːto
アスレチック	asɯɾetɕikːɯ
アセチレン	asetɕiɾeɴ
アセティシズム	aseteiɕizɯmɯ
アゼルバイジャン	azeɾɯbaidʑaɴ
アタック	atakːɯ
アタッシェ	ataɕːie
アタリ	ataɾi
アダルト	adaɾɯto
アダルトビデオ	adaɾɯtobideo
アックス	akːɯsɯ
アッシー	aɕːiː
アット	atːo
アットホーム	atːohoːmɯ
アッパー	apːaː
アッピール	apːiːɾɯ
アップ	apːɯ
アップテンポ	apːɯteɴpo
アップリケ	apːɯɾike
アップル	apːɯɾɯ
アップロード	apːɯɾoːdo
アッラー	aッɾaː
アッラーフ	aッɾaːɸɯ
アテネ	atene
アデュー	adejɯː
アトピー	atopiː
アトム	atomɯ
アトラクション	atoɾakɯɕoɴ
アトリウム	atoɾiɯmɯ
アトリエ	atoɾie
アド	ado
アドバイザー	adobaizaː
アドバイス	adobaisɯ
アドバンテージ	adobaɴteːdʑi
アドベ	adobe
アドリブ	adoɾibɯ
アドレナリン	adoɾenaɾiɴ
アナ	ana
アナーキスト	anaːkisɯto
アナーキズム	anaːkizɯmɯ
アナウンサー	anaɯɴsaː
アナウンス	anaɯɴsɯ
アナウンスメント	anaɯɴsɯmeɴto
アナキスト	anakisɯto
アナキズム	anakizɯmɯ
アナグラム	anagɯɾamɯ
アナグリフ	anagɯɾiɸɯ
アナコンダ	anakoɴda
アナザー	anazaː
アナフィラキシー	anaɸiɾakiɕiː
アナログ	anaɾogɯ
アニオン	anioɴ
アニサキス	anisakisɯ
アニメ	anime
アニメーション	animeːɕoɴ
アニリン	aniɾiɴ
アネクドート	anekɯdoːto
アノード	anoːdo
アノア	anoa
アノラック	anoɾakːɯ
アバター	abataː
アバンギャルド	abaɴgjaɾɯdo
アバンタイトル	abaɴtaitoɾɯ
アパート	apaːto
アパタイト	apataito
アパルトヘイト	apaɾɯtoheito
アヒージョ	açiːdʑo
アビシニアン	abiɕiniaɴ
アピール	apiːɾɯ
アフィ	aɸi
アフィリエイト	aɸiɾieito
アフガン	aɸɯgaɴ
アフターサービス	aɸɯtaːsaːbisɯ
アフターバーナー	aɸɯtaːbaːnaː
アフレコ	aɸɯɾeko
アブサン	abɯsaɴ
アブラギッシュ	abɯɾagiɕːɯ
アブラムシ	abɯɾamɯɕi
アプライアンス	apɯɾaiaɴsɯ
アプリオリ	apɯɾioɾi
アプリケーション	apɯɾikeːɕoɴ
アベック	abekːɯ
アベノミクス	abenomikɯsɯ
アペタイザー	apetaizaː
アホロートル	ahoɾoːtoɾɯ
アボカド	abokado
アポ	apo
アポイントメント	apoiɴtomeɴto
アポストロフィ	aposɯtoɾoɸi
アマゾーン	amazoːɴ
アミ	ami
アミド	amido
アミノ	amino
アミン	amiɴ
アムラー	amɯɾaː
アメーバ	ameːba
アメシスト	ameɕisɯto
アメフト	ameɸɯto
アメリカグマ	ameɾikagɯma
アメリカン	ameɾikaɴ
アメリカンドッグ	ameɾikaɴdogːɯ
アメリシウム	ameɾiɕiɯmɯ
アヤトラ	ajatoɾa
アラー	aɾaː
アラーム	aɾaːmɯ
アラサー	aɾasaː
アラザン	aɾazaɴ
アラニン	aɾaniɴ
アラバスター	aɾabasɯtaː
アラフォー	aɾaɸoː
アラブ	aɾabɯ
アラン	aɾaɴ
アリゲーター	aɾigeːtaː
アリバイ	aɾibai
アルカーイダ	aɾɯkaːida
アルカリ	aɾɯkaɾi
アルカン	aɾɯkaɴ
アルキン	aɾɯkiɴ
アルギニン	aɾɯginiɴ
アルケー	aɾɯkeː
アルケン	aɾɯkeɴ
アルコーブ	aɾɯkoːbɯ
アルコール	aɾɯkoːɾɯ
アルゴリズム	aɾɯgoɾizɯmɯ
アルゴン	aɾɯgoɴ
アルシン	aɾɯɕiɴ
