ㄱㅏ	ka̠
ㄱㅏㄱㅏ	ka̠ɡa̠
ㄱㅏㄱㅏㄷㅐㅅㅗ	ˈka̠ːɡa̠dɛ̝sʰo̞
ㄱㅏㄱㅏㄷㅐㅅㅗㅎㅏㄷㅏ	ˈka̠ːɡa̠dɛ̝sʰo̞ɦa̠da̠
ㄱㅏㄱㅏㄹㅖ	ka̠ɡa̠ɾje̞
ㄱㅏㄱㅏㄹㅣㄴ	ka̠ɡa̠ɾin
ㄱㅏㄱㅏㅂㅏㅇ	ˈka̠ːɡa̠ba̠ŋ
ㄱㅏㄱㅏㅅㅓㅇㅈㅏ	ka̠ɡa̠sʰʌ̹ŋd͡ʑa̠
ㄱㅏㄱㅏㅇㅜㅅㅡㅇㅓ	ka̠ɡa̠usʰɯʌ̹
ㄱㅏㄱㅏㅎㅏㄷㅏ	ˈka̠ːɡa̠ɦa̠da̠
ㄱㅏㄱㅏㅎㅗㅎㅗ	ka̠ɡa̠βo̞βo̞
ㄱㅏㄱㅏㄱ	ka̠ɡa̠k̚
ㄱㅏㄱㅏㄱㄱㅗ	ka̠ɡa̠k̚k͈o̞
ㄱㅏㄱㅏㄱㅂㅗㄴ	ka̠ɡa̠k̚p͈o̞n
ㄱㅏㄱㅏㄱㅎㅏㄷㅏ	ˈka̠ːɡa̠kʰa̠da̠
ㄱㅏㄱㅏㄱㅎㅣ	ˈka̠ːɡa̠kçi
ㄱㅏㄱㅏㄴ	ka̠ɡa̠n
ㄱㅏㄱㅏㄴㅅㅏ	ka̠ɡa̠nsʰa̠
ㄱㅏㄱㅏㄴㅈㅣㅂㅁㅜㄹ	ka̠ɡa̠nd͡ʑimmuɭ
ㄱㅏㄱㅏㅁ	ka̠ɡa̠m
ㄱㅏㄱㅏㅁㄷㅚㄷㅏ	ka̠ɡa̠mdø̞da̠
ㄱㅏㄱㅏㅁㅂㅓㅂ	ka̠ɡa̠mp͈ʌ̹p̚
ㄱㅏㄱㅏㅁㅂㅕㄴ	ka̠ɡa̠mbjʌ̹n
ㄱㅏㄱㅏㅁㅅㅗㄱㅓㅂㅓㅂ	ka̠ɡa̠msʰo̞ɡʌ̹bʌ̹p̚
ㄱㅏㄱㅏㅁㅅㅡㅇㅈㅔ	ka̠ɡa̠msʰɯŋd͡ʑe̞
ㄱㅏㄱㅏㅁㅅㅡㅇㅎㅏㅂㅈㅔ	ka̠ɡa̠msʰɯŋɦa̠p̚t͡ɕ͈e̞
ㄱㅏㄱㅏㅁㅇㅕㄱ	ˈka̠ːɡa̠mjʌ̹k̚
ㄱㅏㄱㅏㅁㅇㅕㄱㄱㅘㄴ	ˈka̠ːɡa̠mjʌ̹k̚k͈wa̠n
ㄱㅏㄱㅏㅁㅇㅡㄴㅎㅟ	ka̠ɡa̠mɯnɦɥi
ㄱㅏㄱㅏㅁㅈㅓㅎㅏㅇㄱㅣ	ka̠ɡa̠md͡ʑʌ̹ɦa̠ŋɡi
ㄱㅏㄱㅏㅁㅈㅣㅇㅣㄴ	ˈka̠ːɡa̠md͡ʑiin
ㄱㅏㄱㅏㅁㅊㅜㄱㅈㅓㄴㄱㅣ	ka̠ɡa̠mt͡ɕʰuk̚t͡ɕ͈ʌ̹nɡi
ㄱㅏㄱㅏㅁㅎㅏㄷㅏ	ka̠ɡa̠mɦa̠da̠
ㄱㅏㄱㅏㅁㅎㅏㅂㅈㅔ	ka̠ɡa̠mɦa̠p̚t͡ɕ͈e̞
ㄱㅏㄱㅏㅇ	ka̠ɡa̠ŋ
ㄱㅏㄱㅏㅇㅅㅜㄹㅑㅇ	ka̠ɡa̠ŋsʰuɾja̠ŋ
ㄱㅏㄱㅏㅇㅎㅏㄷㅏ	ka̠ɡa̠ŋɦa̠da̠
ㄱㅏㄱㅏㅇㅎㅣ	ka̠ɡa̠ŋʝi
ㄱㅏㄱㅐ	ka̠ɡɛ̝
ㄱㅏㄱㅐㅂㅣ	ka̠ɡɛ̝bi
ㄱㅏㄱㅐㄱ	ka̠ɡɛ̝k̚
ㄱㅏㄱㅑ	ka̠ɡja̠
ㄱㅏㄱㅑㄱㅓㄱㅕ	ka̠ɡja̠ɡʌ̹ɡjʌ̹
ㄱㅏㄱㅑㄱㅡㄹ	ka̠ɡja̠ɡɯɭ
ㄱㅏㄱㅑㄴㅏㄹ	ka̠ɡja̠na̠ɭ
ㄱㅏㄱㅑㅅㅣㅈㅓㄹ	ka̠ɡja̠ɕʰid͡ʑʌ̹ɭ
ㄱㅏㄱㅑㅍㅛ	ka̠ɡja̠pʰjo
ㄱㅏㄱㅓ	ka̠ɡʌ̹
ㄱㅏㄱㅓㅈㅜ	ka̠ɡʌ̹d͡ʑu
ㄱㅏㄱㅓㅈㅣㅈㅣ	ˈka̠ːɡʌ̹d͡ʑid͡ʑi
ㄱㅏㄱㅓㅊㅓ	ˈka̠ːɡʌ̹t͡ɕʰʌ̹
